SalePrice,Area,Price/m2,Width,Length,Location
2730.0,100.0,27.3,5.0,20.0,quan ngu hanh son
3270.0,100.0,32.7,5.0,20.0,quan cam le
4200.0,109.0,38.53,5.0,21.5,quan ngu hanh son
1160.0,86.4,13.49,5.0,18.0,quan ngu hanh son
1400.0,80.0,17.5,6.0,13.0,quan lien chieu
3000.0,125.0,24.0,5.0,25.0,quan cam le
3270.0,100.0,32.7,5.0,20.0,quan cam le
1760.0,108.0,16.3,5.0,21.0,quan ngu hanh son
15900.0,173.0,91.91,8.3,21.0,quan son tra
1250.0,119.0,10.5,7.0,17.0,huyen hoa vang
4150.0,137.0,30.29,5.0,27.0,quan cam le
3300.0,100.0,33.0,5.0,20.0,quan cam le
3300.0,100.0,33.0,5.0,18.0,quan cam le
1300.0,70.0,18.57,5.0,20.0,quan lien chieu
831.6,100.0,8.32,6.0,17.0,quan ngu hanh son
2050.0,67.5,30.6,4.5,17.0,quan lien chieu
3550.0,100.0,35.5,5.0,20.0,quan cam le
2400.0,370.0,6.49,10.0,37.0,huyen hoa vang
1450.0,128.0,11.33,5.0,25.6,quan ngu hanh son
2600.0,60.0,43.33,3.7,17.0,quan son tra
3500.0,100.0,35.0,5.0,20.0,quan cam le
2650.0,96.0,27.6,6.0,16.0,quan ngu hanh son
1690.0,60.0,28.17,4.85,13.0,quan lien chieu
4000.0,117.5,34.19,5.0,23.5,quan son tra
535.0,100.0,5.35,5.0,20.0,huyen hoa vang
4150.0,100.0,41.5,5.0,20.0,quan cam le
480.0,144.0,3.33,5.0,28.0,huyen hoa vang
550.0,125.0,4.4,5.0,25.0,huyen hoa vang
1762.0,105.0,16.78,5.0,21.0,quan ngu hanh son
3350.0,100.0,33.5,5.0,20.0,quan cam le
525.0,117.0,4.49,5.0,20.0,huyen hoa vang
1400.0,65.0,21.54,4.0,16.0,quan lien chieu
2790.0,152.0,18.36,8.0,19.0,quan ngu hanh son
3450.0,72.0,47.92,4.0,20.0,quan son tra
890.0,148.5,6.01,5.0,29.0,huyen hoa vang
1700.0,105.0,16.19,5.0,29.0,quan ngu hanh son
3750.0,100.0,37.5,5.0,20.0,quan cam le
520.0,100.0,5.2,5.0,20.0,huyen hoa vang
3750.0,93.0,40.32,5.0,18.6,quan lien chieu
2300.0,50.5,46.0,4.0,13.0,quan thanh khe
3650.0,100.0,36.5,5.0,20.0,quan cam le
770.0,145.0,5.31,5.0,29.0,huyen hoa vang
2250.0,76.5,29.61,5.0,29.0,quan lien chieu
1700.0,100.0,17.0,5.0,20.0,huyen hoa vang
2400.0,109.0,22.02,5.0,21.0,quan cam le
2900.0,100.0,29.0,5.0,20.0,quan ngu hanh son
640.0,120.0,5.33,5.0,20.0,huyen hoa vang
450.0,144.0,3.13,5.0,29.0,huyen hoa vang
1250.0,165.0,7.58,6.0,33.0,huyen hoa vang
3550.0,85.0,41.76,5.0,17.0,quan lien chieu
3100.0,110.0,28.18,5.0,22.0,quan ngu hanh son
1950.0,100.0,19.5,5.0,20.0,quan lien chieu
500.0,130.0,3.8461538461538463,5.5,23.0,huyen hoa vang
4900.0,150.0,32.67,7.0,20.0,quan ngu hanh son
3200.0,100.0,32.0,5.0,20.0,quan lien chieu
3500.0,90.0,38.89,6.0,15.0,quan ngu hanh son
2200.0,100.0,22.0,5.0,20.0,quan ngu hanh son
2450.0,91.5,26.92,5.1,18.0,quan ngu hanh son
2200.0,120.0,18.33,6.0,20.0,quan cam le
2450.0,90.0,27.22,5.0,19.0,quan cam le
3050.0,56.0,54.46,5.0,19.0,quan hai chau
1930.0,100.0,19.3,5.0,20.0,quan lien chieu
1900.0,80.0,23.75,4.7,20.0,quan lien chieu
3000.0,100.0,30.0,5.0,20.0,quan ngu hanh son
2950.0,100.0,29.5,5.0,22.0,quan ngu hanh son
3450.0,64.0,53.91,5.0,22.0,quan thanh khe
1400.0,85.0,16.47,5.0,17.0,quan ngu hanh son
2300.0,60.0,38.33,5.0,17.0,quan thanh khe
2050.0,185.0,11.08108108108108,6.0,31.0,huyen hoa vang
3350.0,80.0,41.88,4.0,20.0,quan lien chieu
1490.0,195.0,7.64,7.0,28.0,huyen hoa vang
830.0,160.0,5.19,6.0,23.0,huyen hoa vang
1690.0,50.0,33.8,6.0,23.0,quan thanh khe
1530.0,83.0,18.43,4.2,23.0,quan lien chieu
2950.0,100.0,29.5,4.2,23.0,quan ngu hanh son
2250.0,76.0,29.61,4.5,16.8,quan lien chieu
2200.0,100.0,22.0,4.5,16.8,quan ngu hanh son
1350.0,120.0,11.25,5.0,24.0,huyen hoa vang
1200.0,135.0,8.89,8.58,15.0,huyen hoa vang
1900.0,80.0,23.75,5.0,18.0,quan ngu hanh son
2350.0,50.0,47.0,6.3,8.0,quan son tra
3650.0,102.0,35.78,5.0,20.5,quan cam le
2600.0,78.0,33.33,5.6,13.0,quan son tra
7100.0,75.0,94.67,5.0,15.0,quan son tra
4150.0,137.0,30.29,5.0,26.0,quan cam le
2650.0,75.0,35.33,4.3,17.5,quan cam le
4150.0,121.0,34.3,4.3,17.5,quan cam le
3900.0,123.0,31.71,3.0,33.0,quan thanh khe
6500.0,119.0,54.62,5.0,23.0,quan ngu hanh son
1410.0,85.0,16.59,5.0,17.0,quan ngu hanh son
1320.0,100.0,13.2,4.0,25.0,quan cam le
1720.0,75.0,22.93,5.0,15.0,quan lien chieu
1200.0,328.0,3.66,10.0,32.0,huyen hoa vang
2950.0,100.0,29.5,5.0,20.0,quan ngu hanh son
3400.0,104.0,32.69,4.3,23.0,quan ngu hanh son
8700.0,112.0,77.68,7.0,18.0,quan son tra
4100.0,112.0,36.61,5.0,21.0,quan lien chieu
2150.0,100.0,21.5,5.0,20.0,quan ngu hanh son
5000.0,105.0,47.62,5.0,21.0,quan lien chieu
2860.0,53.0,53.96,4.0,13.5,quan son tra
1000.0,150.0,6.67,5.0,30.0,huyen hoa vang
3150.0,81.0,38.89,5.0,16.2,quan lien chieu
1400.0,98.0,14.29,5.0,19.0,quan ngu hanh son
