SalePrice,Area,Price/m2,Width,Length,Location
2950.0,100,29.5,5,20,quan ngu hanh son
2220.0,100,22.2,5,20,huyen hoa vang
3880.0,145.5,26.76,8.9,16.67,quan ngu hanh son
1180.0,134,8.81,8,16,huyen hoa vang
4050.0,100,40.5,5,20,quan cam le
6500.0,152,42.76,6.7,24,quan lien chieu
3020.0,87,34.71,5,18,quan cam le
2850.0,84.1,33.93,4.2,18,quan lien chieu
3600.0,100,36.0,5,20,quan lien chieu
499.0,100,4.99,5,20,huyen hoa vang
2550.0,100,25.5,5,20,quan lien chieu
1550.0,117,13.25,5,23,huyen hoa vang
4200.0,80,52.5,5,16,quan ngu hanh son
2050.0,80,25.63,7,12,quan lien chieu
4500.0,84,53.57,5,16,quan lien chieu
2400.0,100,24.0,5,20,quan ngu hanh son
2900.0,125,23.2,5,25,quan lien chieu
388.0,101,3.84,5,20,huyen hoa vang
389.0,100,3.89,5.5,18,huyen hoa vang
10200.0,111,91.89,6.5,18,quan son tra
2950.0,100,29.5,,,quan ngu hanh son
3280.0,100,32.8,5,20,quan cam le
8100.0,70,115.71,5,14,quan ngu hanh son
3520.0,100,35.2,5,20,quan cam le
14500.0,103,140.78,5,20.6,quan ngu hanh son
2720.0,127,21.42,5,20.6,quan cam le
730.0,200,3.65,5,40,huyen hoa vang
2900.0,100,29.0,5,20,quan ngu hanh son
3350.0,100,33.5,5,20,quan cam le
1770.0,80,22.13,5,16,quan lien chieu
4350.0,105,41.43,5,21,quan lien chieu
2870.0,100,28.7,5,20,quan ngu hanh son
2300.0,100,23.0,5,20,quan cam le
2340.0,90,26.0,5,20,quan lien chieu
15000.0,326,46.01,12,25,quan cam le
2900.0,100,29.0,5,20,quan ngu hanh son
2100.0,100,21.0,5,25,quan lien chieu
5400.0,90,60.0,5,25,quan thanh khe
2600.0,75,34.67,5,25,quan lien chieu
4300.0,99,43.43,5.5,18,quan cam le
3350.0,100,33.5,5,20,quan lien chieu
2950.0,108,27.31,6,20,huyen hoa vang
3550.0,100,35.5,6,20,quan cam le
4050.0,100,40.5,5,20,quan cam le
3600.0,105,34.29,5,21,quan lien chieu
24000.0,512,46.88,20,25,quan cam le
15000.0,296.7,50.68,20,25,quan cam le
390.0,100,3.9,5,20,huyen hoa vang
3400.0,100,34.0,5,20,quan cam le
8100.0,145,55.86,5,20,quan son tra
6600.0,100,66.0,5,20,quan lien chieu
1350.0,66,20.45,5,20,quan lien chieu
2850.0,100,28.5,5,20,quan ngu hanh son
7300.0,161,45.34,9,18,quan ngu hanh son
2550.0,100,25.5,5,20,quan cam le
1600.0,70,22.86,5,14,quan lien chieu
2500.0,98,25.51,5,20,quan lien chieu
1600.0,62,25.81,5,20,quan lien chieu
3200.0,83,38.55,5,16,quan ngu hanh son
983.0,125,7.86,5,25,quan ngu hanh son
2800.0,102,27.45,6,,quan ngu hanh son
5200.0,100,52.0,5,20,quan son tra
8000.0,90,88.89,5,18,quan son tra
5250.0,125,42.0,5,25,quan ngu hanh son
3100.0,104,29.81,5,21,quan cam le
2900.0,100,29.0,5,20,quan cam le
2800.0,90,31.11,5,18,quan cam le
524.0,100,5.24,5,20,huyen hoa vang
450.0,250,1.8,15,17,quan son tra
2550.0,100,25.5,5,20,quan lien chieu
2590.0,147,17.62,7,18,quan ngu hanh son
2440.0,100,24.4,5,20,quan ngu hanh son
3150.0,100,31.5,5,20,quan cam le
1440.0,111,12.97,5,22,quan lien chieu
2790.0,150,18.6,7.5,20,quan lien chieu
3050.0,100,30.5,5,20,quan cam le
2880.0,105,27.43,5,21,quan ngu hanh son
2590.0,80,32.38,5,16,quan lien chieu
11500.0,250,46.0,10,25,quan cam le
2800.0,125,22.4,5,25,quan ngu hanh son
3200.0,87,36.78,5,17,quan ngu hanh son
2880.0,100,28.8,5,20,quan ngu hanh son
1550.0,120,12.92,6,20,quan ngu hanh son
4350.0,100,43.5,5,20,quan cam le
2700.0,127,21.26,6,216,quan ngu hanh son
40.0,290,0.00013793100000000002,15,17,quan ngu hanh son
22500.0,347,64.84,13.67,25.41,quan cam le
2550.0,90,28.33,13.67,25.41,quan lien chieu
520.0,340,1.53,10,34,huyen hoa vang
2550.0,90,28.33,10,34,quan lien chieu
5450.0,91,59.89,4.1,22.5,quan son tra
1620.0,40,40.5,4,10,quan thanh khe
1630.0,40,40.75,4,10,quan thanh khe
1700.0,100,17.0,5,20,quan ngu hanh son
6789.0,118,57.53,55,215,quan ngu hanh son
2800.0,100,28.0,5,20,quan cam le
1700.0,51,33.33,4,12,quan thanh khe
2500.0,77,32.47,6,15,quan cam le
3300.0,125,26.4,5,25,quan ngu hanh son
2550.0,90,28.33,4,20,quan lien chieu
29990.0,1039,28.86,11.3,52,quan lien chieu
4480.0,127,35.28,630,21,quan son tra
2850.0,84.1,33.93,4.2,18,quan lien chieu
2050.0,67.5,30.6,4.5,15,quan lien chieu
8450.0,106,79.72,5,21,quan ngu hanh son
3350.0,90,37.22,4,22,quan lien chieu
1400.0,109,12.84,4,22,quan ngu hanh son
3550.0,100,35.5,5,20,quan cam le
6600.0,100,66.0,5,20,quan lien chieu
3050.0,56,54.46,5,11,quan hai chau
1050.0,100,10.5,5,20,quan lien chieu
15000.0,144,104.17,83,22,quan thanh khe
680.0,122,5.57,5.01,24,huyen hoa vang
3450.0,144,23.96,6,24,quan ngu hanh son
32.0,767,4.172e-05,17,45,quan ngu hanh son
4150.0,121,34.3,17,45,quan cam le
